0.2,0.2046,0.0025
0.4,0.4125,0.0091
0.6,0.6149,0.0090
2/3,0.683,0.012
0.8,0.8114,0.0074
1.0,1.000,0.010
1.2,1.192,0.015
1.4,1.401,0.028
1.6,1.636,0.028
7/4,1.754,0.032
1.8,1.783,0.031
2.0,1.854,0.037
2.2,1.849,0.035
2.4,1.844,0.039
inf,1.763,0.015
